seqnames	strand	sum_count	CAGE_ID	prime5.TR	prime3.TR	transcript_id	CAGE.cluster.start	CAGE.cluster.end	CAGE_significance	score	support	TX_ID	TX_nov_ID	Ref.prime3.TR	TES	cmp_ref	class_code	gene	CAGE_cluster_width	cluster_ID	cluster_start	cluster_end	cluster_width	cluster_center	cluster_peak	final_TX_ID
NC_001491.2	+	1	CAGE_cluster_1007	137813	138874	200363	137801	137970	***	598827.546323734	9	497	TX_nov_ID_1034	138877	95	ORF67.1	o	ORF67	170	cluster_2	137812	137814	3	137813	137814	1
NC_001491.2	+	1	CAGE_cluster_1007	137833	138876	423932	137801	137970	***	598827.546323734	9	1725	TX_nov_ID_1034	138877	95	ORF67.1	Splice-variant	ORF67	170	cluster_3	137820	137849	30	137835	137847	2
NC_001491.2	+	1	CAGE_cluster_1007	137896	138867	510861	137801	137970	***	598827.546323734	9	2574	TX_nov_ID_1034	138877	95	ORF67.1	5`-short	ORF67	170	cluster_5	137891	137924	34	137907	137911	3
NC_001491.2	+	1	CAGE_cluster_101	15190	20387	243385	15187	15263	***	49270.838652001	9	1039	TX_nov_ID_137	20385	16	ORF13-ORF14-PC-Canonic	5`-long	ORF13	77	cluster_1	15190	15201	12	15195	15195	4
NC_001491.2	+	1	CAGE_cluster_101	15196	20387	379095	15187	15263	***	49270.838652001	9	1039	TX_nov_ID_137	20385	16	ORF13-ORF14-PC-Canonic	5`-long	ORF13	77	cluster_1	15190	15201	12	15195	15195	4
NC_001491.2	+	1	CAGE_cluster_101	15240	20387	526557	15187	15263	***	49270.838652001	9	1039	TX_nov_ID_137	20385	16	ORF13-ORF14-PC-Canonic	Splice-variant	ORF13	77	cluster_2	15233	15253	21	15240	15234	5
NC_001491.2	+	1	CAGE_cluster_101	15243	20387	284954	15187	15263	***	49270.838652001	9	1039	TX_nov_ID_137	20385	16	ORF13-ORF14-PC-Canonic	Splice-variant	ORF13	77	cluster_2	15233	15253	21	15240	15234	5
NC_001491.2	+	1	CAGE_cluster_1010	138171	138864	505010	138160	138216	***	7209.714970452	7	15728	TX_nov_ID_1041	138877	95	ORF67.1	c	ORF67	57	cluster_1	138160	138193	34	138176	138175	6
NC_001491.2	+	1	CAGE_cluster_1010	138201	138867	87507	138160	138216	***	7209.714970452	7	30083	TX_nov_ID_1041	138877	95	ORF67.1	5`-short	ORF67	57	cluster_2	138195	138216	22	138206	138216	7
NC_001491.2	+	1	CAGE_cluster_1010	138204	138864	238460	138160	138216	***	7209.714970452	7	15728	TX_nov_ID_1041	138877	95	ORF67.1	c	ORF67	57	cluster_2	138195	138216	22	138206	138216	7
NC_001491.2	+	1	CAGE_cluster_1013	138402	138873	526323	138374	138430	**	1734.781424529	4	454	TX_nov_ID_1039	138877	95	ORF67.1	5`-short	ORF67	57	cluster_1	138374	138414	41	138396	138374	8
NC_001491.2	+	1	CAGE_cluster_111	15669	20387	178459	15668	15684	***	2849.34208532	8	2915	TX_nov_ID_156	20385	16	ORF14-L1	5`-short	ORF14	17	cluster_1	15669	15682	14	15675	15673	9
NC_001491.2	+	1	CAGE_cluster_111	15676	20387	327465	15668	15684	***	2849.34208532	8	2915	TX_nov_ID_156	20385	16	ORF14-L1	5`-short	ORF14	17	cluster_1	15669	15682	14	15675	15673	9
NC_001491.2	+	1	CAGE_cluster_111	15677	20387	309860	15668	15684	***	2849.34208532	8	2915	TX_nov_ID_156	20385	16	ORF14-L1	5`-short	ORF14	17	cluster_1	15669	15682	14	15675	15673	9
NC_001491.2	+	1	CAGE_cluster_113	15738	16356	434638	15731	15755	***	1764.55108293	6	9591	TX_nov_ID_122	16341	15	ORF12-AT	c	ORF12	25	cluster_2	15738	15749	12	15744	15746	10
NC_001491.2	+	1	CAGE_cluster_113	15741	16351	535208	15731	15755	***	1764.55108293	6	14559	TX_nov_ID_122	16341	15	ORF12-AT	5`-short	ORF12	25	cluster_2	15738	15749	12	15744	15746	10
NC_001491.2	+	1	CAGE_cluster_113	15747	20387	465830	15731	15755	***	1764.55108293	6	6700	TX_nov_ID_178	20385	16	ORF14-L1	o	ORF14	25	cluster_2	15738	15749	12	15744	15746	11
NC_001491.2	+	1	CAGE_cluster_115	15815	20387	451184	15815	15859	**	1109.593974941	5	3520	TX_nov_ID_146	20385	16	ORF14-L2	5`-long	ORF14	45	cluster_1	15815	15815	1	15815	15815	12
NC_001491.2	+	1	CAGE_cluster_115	15822	16356	463456	15815	15859	**	1109.593974941	5	12629	TX_nov_ID_121	16341	15	ORF12-AT	c	ORF12	45	cluster_2	15822	15830	9	15826	15828	13
NC_001491.2	+	1	CAGE_cluster_115	15824	20387	323603	15815	15859	**	1109.593974941	5	3520	TX_nov_ID_146	20385	16	ORF14-L2	5`-long	ORF14	45	cluster_2	15822	15830	9	15826	15828	14
